series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S396,8,1,1998.0,2008.0,7.7,0.00017546725119660183,"['usp0008yx2', 'usp0008z7q', 'usp0009sbh', 'usp000aa8b', 'usp000f34b', 'usp000f57a', 'usp000fh3s', 'usp000ggu7']"
S134,3,1,1931.0,1931.0,7.34,0.00017653370537783612,"['iscgem906621', 'iscgem906630', 'iscgem907033']"
S466,3,1,2015.0,2018.0,7.6,0.000176764658598661,"['us100040ww', 'us100041f1', 'us1000ggj4']"
S029,9,2,1906.0,1973.0,8.2,0.00017809548217988767,"['iscgemsup16957911', 'iscgemsup16957914', 'iscgem16957917', 'iscgem16957940', 'iscgem906476', 'iscgem858940', 'iscgem782010', 'iscgem772340', 'usp00003pf']"
S464,3,1,2015.0,2015.0,6.8,0.00017892867436485518,"['us20002whh', 'us100030pg', 'us10003zcp']"
S371,3,1,1993.0,2006.0,7.5,0.0001828337174074074,"['usp0005u7b', 'usp00063mj', 'usp000erp5']"
S189,5,2,1944.0,1949.0,7.08,0.00018513755988932586,"['iscgem899539', 'iscgem897890', 'iscgem897893', 'iscgem898043', 'iscgem896854']"
S375,10,2,1993.0,2003.0,8.0,0.00018537408061328756,"['usp00062jn', 'usp00073c5', 'usp00074vc', 'usp00075gf', 'usp00077vd', 'usp0007dv6', 'usp0007m35', 'usp00081jx', 'usp000851t', 'usp000bnyr']"
S163,7,2,1939.0,2001.0,7.23,0.00018540336244325314,"['iscgem902082', 'iscgem849341', 'iscgem830163', 'iscgem813480', 'iscgem812084', 'usp000a68h', 'usp000ap1d']"
S018,13,3,1905.0,2001.0,7.98,0.00018560653356209273,"['iscgem16957835', 'iscgem16957847', 'iscgem610548612', 'iscgem16957872', 'iscgem16957880', 'iscgem610548622', 'iscgem610548624', 'iscgem913998', 'iscgem913404', 'iscgem913405', 'iscgem909845', 'iscgem903937', 'usp000agn9']"
S050,3,1,1910.0,1911.0,7.2,0.00018591824712086227,"['iscgemsup16958080', 'iscgemsup16958126', 'iscgemsup16958157']"
S187,5,2,1943.0,1980.0,7.15,0.00018628525145630116,"['iscgem900139', 'iscgemsup900159', 'iscgem899231', 'iscgem879944', 'usp00015qz']"
S339,3,1,1988.0,1991.0,7.0,0.00018673175792770203,"['usp0003dte', 'usp0004x7f', 'usp0004xzr']"
S406,4,1,2000.0,2001.0,7.9,0.00018715577727265145,"['usp0009txv', 'usp0009ut0', 'usp000a7t0', 'usp000a9kc']"
S296,6,1,1976.0,2003.0,7.9,0.00018921901274103405,"['usp0000hvb', 'usp0000hw4', 'usp0000k85', 'usp0000xwj', 'usp000azqw', 'usp000by7z']"
S129,8,1,1929.0,2004.0,8.1,0.00018961626547382221,"['iscgem908171', 'iscgem908405', 'iscgem908406', 'iscgem907325', 'iscgem907549', 'iscgem905730', 'iscgem896372', 'usp000d3qv']"
