series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S189,13,2,2007.0,2023.0,7.4,0.00027715708230813285,"['usp000f3xh', 'usp000f3zy', 'usp000ghyg', 'usp000gq7y', 'usc000rkg5', 'us7000dfk3', 'us7000eeq4', 'us7000gg3w', 'us6000h1d2', 'us7000jh99', 'us7000jkbd', 'us6000k6mg', 'us7000jwhe']"
S057,8,1,1983.0,2022.0,7.2,0.0002785387769790106,"['usp00020ph', 'usp0002mbn', 'usp0006bt7', 'usp0009rrc', 'usp0009suu', 'usp000j7ee', 'usp000jm15', 'us7000h8g3']"
S223,3,1,2016.0,2017.0,7.4,0.000278740801785528,"['us20005ysu', 'us10006exl', 'us10008rb6']"
S248,3,1,2023.0,2025.0,7.6,0.0002797584631581043,"['us6000kawn', 'us6000kpls', 'us6000quy1']"
S113,3,1,1992.0,1993.0,7.8,0.0002809464059812398,"['usp0005j5a', 'usp0005jjt', 'usp00061gr']"
S195,5,1,2008.0,2016.0,8.3,0.00028589740875787837,"['usp000gbc0', 'usp000gpbs', 'usb000h4jh', 'usb000k3c1', 'us20004vvx']"
S181,8,2,2004.0,2017.0,8.1,0.00028922525773406244,"['usp000d8ze', 'usp000db93', 'usp000dbg6', 'usp000dbj1', 'usp000fpgq', 'usp000fqks', 'usp000fs9s', 'us100098qm']"
S185,3,1,2006.0,2013.0,7.7,0.00029323256429931717,"['usp000ensm', 'usp000hz7h', 'usc000hpsd']"
S187,10,2,2006.0,2013.0,8.3,0.0002951027251830144,"['usp000eu5f', 'usp000exfn', 'usp000exg0', 'usp000f2ab', 'usp000f3za', 'usp000g0jk', 'usp000gsmz', 'usp000gvv4', 'usb000gbf8', 'usb000h543']"
S135,6,1,1995.0,2009.0,7.7,0.0002966549466594315,"['usp0006xg1', 'usp0006zwa', 'usp00070h5', 'usp0008dqq', 'usp000dn2k', 'usp000gsm5']"
S021,3,1,1977.0,1997.0,6.6,0.0002990634977150456,"['usp0000m2u', 'usp0004a7d', 'usp00086u4']"
S238,7,1,2020.0,2025.0,8.2,0.000299709451279905,"['us7000asvb', 'us6000c9hg', 'ak0219neiszm', 'ak021d1u1nos', 'us7000gavu', 'us7000kg30', 'us7000qd1y']"
S038,3,1,1980.0,2001.0,6.7,0.00030407793082144676,"['usp0001adk', 'usp0001c85', 'usp000aake']"
S020,6,1,1976.0,2003.0,7.9,0.00030463473890871375,"['usp0000hvb', 'usp0000hw4', 'usp0000k85', 'usp0000xwj', 'usp000azqw', 'usp000by7z']"
S252,3,2,2024.0,2025.0,7.1,0.00030528126649106475,"['us6000nith', 'us6000nj9s', 'us6000pjny']"
S163,6,2,2001.0,2024.0,8.4,0.00030626566786336656,"['official20010623203314130_33', 'usp000ahfr', 'usp000b17z', 'usb000jzma', 'us2000cjfy', 'us6000n8tq']"
S240,6,2,2021.0,2023.0,7.7,0.00030655813968575267,"['us6000dg77', 'us7000dfq2', 'us6000fr0b', 'us7000gyj0', 'us7000hcqw', 'us6000kd0n']"
S234,8,2,2019.0,2022.0,8.0,0.00030992822956568775,"['us2000jlfv', 'us1000j96d', 'us60003sc0', 'us70003t2n', 'us7000fxq2', 'us7000ghm5', 'us7000hcmn', 'us7000hfrj']"
S010,3,1,1974.0,1975.0,6.5,0.00031019999350717945,"['usp00008kr', 'usp00008zj', 'usp00009gz']"
S250,3,1,2024.0,2024.0,6.9,0.0003178720878713245,"['us6000n158', 'us7000n9dt', 'us7000nhjw']"
S154,5,1,1999.0,2004.0,7.7,0.000323722892272704,"['usp0009eq0', 'usp000ausw', 'usp000b1e2', 'usp000cexg', 'usp000d6dm']"
S182,5,2,2005.0,2009.0,7.8,0.0003425965969876949,"['usp000dsw1', 'usp000dt25', 'usp000dt8h', 'usp000e4cy', 'usp000h401']"
S080,4,1,1987.0,1997.0,7.4,0.00034357606932091994,"['usp000329h', 'usp00053k1', 'usp00057d0', 'usp0007zzs']"
S089,10,2,1988.0,2012.0,7.6,0.0003464946535845201,"['usp0003j4p', 'usp0003nn3', 'usp000464d', 'usp000467e', 'usp00046wv', 'usp000j6r4', 'usp000j7jb', 'usp000jeag', 'usp000jfqx', 'usp000jfzj']"
S157,4,2,2000.0,2004.0,7.2,0.00034743512391288033,"['usp0009kx3', 'usp0009kz2', 'usp0009nxg', 'usp000cjn2']"
S219,4,1,2015.0,2024.0,7.8,0.00035091706190431833,"['us20002ki3', 'us10002l37', 'us70008z89', 'us6000mu8k']"
S081,7,2,1987.0,1993.0,7.6,0.0003610639365931588,"['usp0003304', 'usp000330w', 'usp00033th', 'usp00037zn', 'usp0003c61', 'usp0003d8y', 'usp0005te6']"
S123,4,2,1994.0,1994.0,7.0,0.00037978001904005884,"['usp00066x3', 'usp0006744', 'usp0006b1z', 'usp0006d2j']"
S079,4,1,1987.0,2021.0,7.0,0.0003827215895234041,"['usp000321p', 'usp000gw7m', 'us700058yy', 'us6000f8yd']"
S145,6,1,1997.0,2003.0,7.1,0.0003907406101156276,"['usp00084ez', 'usp000892b', 'usp0008e5f', 'usp0008uc5', 'usp000b6du', 'usp000c0bb']"
S222,3,2,2016.0,2016.0,7.8,0.00040539606105518666,"['us20005j32', 'us10005cc4', 'us10005i5t']"
S007,22,2,1974.0,2023.0,7.5,0.0004078624497092301,"['usp00007cw', 'usp00007j0', 'usp00020xw', 'usp00020z7', 'usp0002h5z', 'usp0002j21', 'usp0004mdh', 'usp0004u5k', 'usp0005y6k', 'usp000828b', 'usp0009h97', 'usp000azhc', 'usp000crt6', 'usp000e61s', 'usp000gjd4', 'usp000gs2v', 'us10003re5', 'us100044k6', 'us20005gsg', 'us10007ca5', 'us6000jqxc', 'us7000jln7']"
S115,6,1,1993.0,1996.0,7.7,0.00041558400526266653,"['usp0005ktj', 'usp0005kz3', 'usp0005mrp', 'usp0005w12', 'usp0005y2x', 'usp0007uuh']"
S231,7,2,2018.0,2022.0,8.1,0.0004279834016302817,"['us2000isc8', 'us600032fg', 'us6000f53e', 'us6000f65h', 'us6000f6wt', 'us6000f9gd', 'us6000ip57']"
S076,6,2,1986.0,2025.0,7.4,0.00042867762868907923,"['usp0003009', 'usp0003y09', 'usp0004j34', 'us7000m9g4', 'us7000ma2w', 'us7000rl2n']"
S103,3,1,1991.0,2006.0,7.6,0.00044042974559475845,"['usp0004ntk', 'usp000ef1h', 'usp000ehph']"
S193,3,2,2007.0,2009.0,7.8,0.0004522041801029574,"['usp000fu3q', 'usp000fuvt', 'usp000gu5x']"
S237,3,1,2020.0,2023.0,7.4,0.00046145147365597613,"['us6000ae4n', 'us6000iasi', 'us7000ku47']"
S205,3,2,2011.0,2011.0,7.6,0.0004795376440954837,"['usp000j48h', 'usp000j5nv', 'usp000j9nm']"
S078,4,1,1987.0,1987.0,6.8,0.0004831427412528448,"['usp00031hj', 'usp00031nv', 'usp000327d', 'usp00033z3']"
S018,3,2,1976.0,1976.0,7.1,0.0004838768139228532,"['usp0000h1p', 'usp0000h24', 'usp0000k3d']"
S143,3,2,1996.0,1996.0,6.7,0.0004851513101943187,"['usp0007rku', 'usp0007rp0', 'usp0007tw5']"
S031,14,1,1978.0,2012.0,8.0,0.00048605507101762813,"['usp0000xp7', 'usp0000y47', 'usp0000yks', 'usp0000zbw', 'usp0001gnv', 'usp0002jwe', 'usp0002jyp', 'usp0002tcb', 'usp0006pwk', 'usp0007vrx', 'usp00082pq', 'usp0009f7v', 'usp0009y65', 'usp000jhpj']"
S056,3,1,1983.0,2013.0,7.3,0.0004878593459684899,"['usp000200r', 'usp0003gj3', 'usb000jelf']"
S206,4,1,2011.0,2013.0,7.1,0.0004889863947028611,"['usp000j9as', 'usp000jc5z', 'usp000jgm3', 'usb000fij4']"
S112,4,1,1992.0,1998.0,7.7,0.0004957288720148129,"['usp0005ddn', 'usp0006z26', 'usp0007e9k', 'usp0008trh']"
S097,3,1,1990.0,1990.0,7.3,0.0005173375600089974,"['usp0004720', 'usp00047e5', 'usp0004904']"
S066,6,1,1985.0,1996.0,7.4,0.0005196627511888345,"['usp0002j7t', 'usp0003dte', 'usp0004x7f', 'usp0004xzr', 'usp0007n5m', 'usp0007rp1']"
S044,5,1,1982.0,2019.0,7.4,0.0005387596414746751,"['usp0001kjv', 'usp000207b', 'usp000jv5f', 'usc000rr6a', 'us2000jbub']"
S239,3,1,2020.0,2025.0,6.9,0.0005716072386415708,"['us7000bf3k', 'us7000bq10', 'us7000pnf2']"
S118,4,1,1993.0,2006.0,7.5,0.0005843287384237743,"['usp0005u7b', 'usp00063mj', 'usp0007k2n', 'usp000erp5']"
S002,6,2,1973.0,1981.0,7.7,0.0005854410734486813,"['usp0000270', 'usp00002dx', 'usp0000862', 'usp0000bdp', 'usp00015mw', 'usp0001fn5']"
S146,3,1,1997.0,1998.0,6.7,0.0006476615942558168,"['usp00085yy', 'usp00086u2', 'usp0008e6m']"
S042,3,1,1981.0,1983.0,7.2,0.0006883986221362482,"['usp0001hgc', 'usp0001j3b', 'usp0001xcs']"
